value,date
279823,01-01-2010
280017,01-02-2010
280202,01-03-2010
280181.211,01-04-2010
280359.053,01-05-2010
280538.502,01-06-2010
280735.698,01-07-2010
280947.775,01-08-2010
281166.466,01-09-2010
281389.958,01-10-2010
281585.764,01-11-2010
281771.705,01-12-2010
281950.74,01-01-2011
282103.376,01-02-2011
282255.404,01-03-2011
282426.238,01-04-2011
282597.08,01-05-2011
282781.223,01-06-2011
282987.049,01-07-2011
283195.367,01-08-2011
283419.118,01-09-2011
283634.159,01-10-2011
283819.523,01-11-2011
283999.712,01-12-2011
284173.179,01-01-2012
284328.977,01-02-2012
284489.369,01-03-2012
284657.127,01-04-2012
284820.53,01-05-2012
285007.594,01-06-2012
285200.786,01-07-2012
285412.341,01-08-2012
285636.749,01-09-2012
285843.978,01-10-2012
286043.863,01-11-2012
286222.752,01-12-2012
286379.595,01-01-2013
286510.143,01-02-2013
286652.224,01-03-2013
286807.855,01-04-2013
286973.654,01-05-2013
287161.042,01-06-2013
287348.778,01-07-2013
287570.327,01-08-2013
287796.125,01-09-2013
288012.27,01-10-2013
288218.026,01-11-2013
288401.551,01-12-2013
288583.923,01-01-2014
288743.883,01-02-2014
288907.203,01-03-2014
289079.218,01-04-2014
289259.505,01-05-2014
289454.152,01-06-2014
289652.368,01-07-2014
289883.786,01-08-2014
290115.296,01-09-2014
290343.734,01-10-2014
290554.209,01-11-2014
290736.157,01-12-2014
290918.646,01-01-2015
291064.511,01-02-2015
291220.786,01-03-2015
291392.295,01-04-2015
291573.972,01-05-2015
291763.558,01-06-2015
291968.213,01-07-2015
292192.45,01-08-2015
292417.611,01-09-2015
292643.019,01-10-2015
292846.265,01-11-2015
293033.071,01-12-2015
293222.862,01-01-2016
293388.098,01-02-2016
293541.468,01-03-2016
293711.212,01-04-2016
293889.995,01-05-2016
294078.466,01-06-2016
294281.042,01-07-2016
294491.361,01-08-2016
294699.851,01-09-2016
294909.726,01-10-2016
295096.527,01-11-2016
295264.912,01-12-2016
295428.195,01-01-2017
295571.497,01-02-2017
295703.97,01-03-2017
295851.757,01-04-2017
296009.199,01-05-2017
296176.237,01-06-2017
296357.612,01-07-2017
296557.716,01-08-2017
296756.019,01-09-2017
296955.952,01-10-2017
297132.633,01-11-2017
297291.399,01-12-2017
297444.123,01-01-2018
297590.823,01-02-2018
297726.69,01-03-2018
297877.866,01-04-2018
298038.704,01-05-2018
298209.14,01-06-2018
298393.909,01-07-2018
298590.25,01-08-2018
298784.788,01-09-2018
298980.95,01-10-2018
299153.864,01-11-2018
299308.861,01-12-2018
299457.812,01-01-2019
299600.744,01-02-2019
299732.843,01-03-2019
299880.25,01-04-2019
300037.319,01-05-2019
300203.989,01-06-2019
300384.993,01-07-2019
300581.333,01-08-2019
300775.872,01-09-2019
300972.035,01-10-2019
301144.949,01-11-2019
301299.946,01-12-2019
